family_accession,family_id
PF02641.15,DUF190
PF12333.8,Ipi1_N
PF07989.11,Cnn_1N
PF00562.28,RNA_pol_Rpb2_6
PF12458.8,DUF3686
PF14495.6,Cytochrom_C550
PF09072.10,TMA7
PF15430.6,SVWC
PF01370.21,Epimerase
PF14327.6,CSTF2_hinge
PF18059.1,Csd3_N
PF18773.1,Importin_rep
PF08329.10,ChitinaseA_N
PF17557.2,Conotoxin_I2
PF11518.8,DUF3221
PF13266.6,DUF4057
PF13821.6,DUF4187
PF00044.24,Gp_dh_N
PF00618.20,RasGEF_N
PF15266.6,DUF4594
PF03472.15,Autoind_bind
PF07093.11,SGT1
PF15074.6,DUF4541
PF01155.19,HypA
PF02634.15,FdhD-NarQ
PF07628.11,DUF1589
PF18159.1,S_4TM
PF05650.11,DUF802
PF13526.6,DUF4125
PF04902.12,Nab1
PF10833.8,DUF2572
PF15050.6,SCIMP
PF06466.11,PCAF_N
PF12053.8,Par3_HAL_N_term
PF10046.9,BLOC1_2
PF08984.11,DUF1858
PF18598.1,TetR_C_36
PF09515.10,Thia_YuaJ
PF10955.8,DUF2757
PF01910.17,Thiamine_BP
PF07367.11,FB_lectin
PF05669.12,Med31
PF08218.11,Citrate_ly_lig
PF10420.9,IL12p40_C
PF03764.18,EFG_IV
PF13085.6,Fer2_3
PF02736.19,Myosin_N
PF14921.6,APCDDC
PF13858.6,DUF4199
PF08790.11,zf-LYAR
PF11706.8,zf-CGNR
PF04829.13,PT-VENN
PF04199.13,Cyclase
PF18738.1,HEPN_DZIP3
PF11852.8,DUF3372
PF15456.6,Uds1
PF13746.6,Fer4_18
PF06844.11,DUF1244
PF15834.5,THEG4
PF05675.12,DUF817
PF09990.9,DUF2231
PF06022.11,Cir_Bir_Yir
PF17050.5,AIM5
PF05591.12,T6SS_VipA
PF16872.5,putAbiC
PF16804.5,DUF5071
PF13196.6,DUF4012
PF12250.8,AftA_N
PF09546.10,Spore_III_AE
PF01243.20,Putative_PNPOx
PF14073.6,Cep57_CLD
PF00310.21,GATase_2
PF07012.12,Curlin_rpt
PF00280.18,potato_inhibit
PF10977.8,DUF2797
PF14850.6,Pro_dh-DNA_bdg
PF03128.14,CXCXC
PF10877.8,DUF2671
PF12987.7,DUF3871
PF09238.10,IL4Ra_N
PF15128.6,T_cell_tran_alt
PF14191.6,YodL
PF14710.6,Nitr_red_alph_N
PF06884.11,DUF1264
PF09420.10,Nop16
PF18339.1,Tudor_1_RapA
PF04998.17,RNA_pol_Rpb1_5
PF04123.13,DUF373
PF05437.12,AzlD
PF16853.5,CDC13_N
PF18439.1,zf_UBZ
PF14838.6,INTS5_C
PF11167.8,DUF2953
PF02430.15,AMA-1
PF13453.6,zf-TFIIB
PF02441.19,Flavoprotein
PF15446.6,zf-PHD-like
PF18612.1,Bac_A_amyl_C
PF18576.1,HTH_52
PF16475.5,DUF5052
PF12077.8,DUF3556
PF04023.14,FeoA
PF04954.13,SIP
PF01976.17,DUF116
PF13903.6,Claudin_2
PF15615.6,TerB_C
PF10779.9,XhlA
PF05275.11,CopB
PF00529.20,HlyD
PF13618.6,Gluconate_2-dh3
PF15711.5,ILEI
PF13952.6,DUF4216
PF02776.18,TPP_enzyme_N
PF04790.13,Sarcoglycan_1
PF07831.13,PYNP_C
PF16375.5,DUF4986
PF07886.11,BA14K
PF11136.8,DUF2889
PF09678.10,Caa3_CtaG
PF06005.12,ZapB
PF01137.21,RTC
PF08761.11,dUTPase_2
PF00036.32,EF-hand_1
PF11899.8,DUF3419
PF04167.13,DUF402
PF04894.12,Nre_N
PF07017.11,PagP
PF08454.11,RIH_assoc
PF01955.18,CbiZ
PF08760.11,DUF1793
PF12395.8,DUF3658
PF16983.5,MFS_MOT1
PF11001.8,DUF2841
PF01940.16,DUF92
PF13250.6,DUF4041
PF17013.5,Acetyltransf_15
PF02635.15,DrsE
PF04355.13,SmpA_OmlA
PF12498.8,bZIP_C
PF08356.12,EF_assoc_2
PF04086.13,SRP-alpha_N
PF02987.16,LEA_4
PF06397.12,Desulfoferrod_N
PF16151.5,DUF4859
PF14365.6,Neprosin_AP
PF01599.19,Ribosomal_S27
PF02082.20,Rrf2
PF02119.16,FlgI
PF08313.12,SCA7
PF06651.11,DUF1163
PF03366.16,YEATS
PF06746.11,DUF1216
PF13937.6,DUF4212
PF08951.10,EntA_Immun
PF08972.11,DUF1902
PF12904.7,Collagen_bind_2
PF08569.11,Mo25
PF12623.7,Hen1_L
PF00379.23,Chitin_bind_4
PF12948.7,MSP7_C
PF16558.5,AZUL
PF09268.10,Clathrin-link
PF10704.9,DUF2508
PF00616.19,RasGAP
PF09982.9,DUF2219
PF06428.11,Sec2p
PF12204.8,DUF3598
PF13301.6,DUF4079
PF05342.14,Peptidase_M26_N
PF12167.8,Arm-DNA-bind_2
PF00055.17,Laminin_N
PF03999.12,MAP65_ASE1
PF15135.6,UPF0515
PF09349.10,OHCU_decarbox
PF04359.14,DUF493
PF18296.1,MID_MedPIWI
PF03169.15,OPT
PF10136.9,SpecificRecomb
PF04098.15,Rad52_Rad22
PF16815.5,HRI1
PF10093.9,EarP
PF18289.1,HU-CCDC81_euk_2
PF17590.2,DUF5488
PF15669.5,CCDC24
PF03398.14,Ist1
PF09821.9,AAA_assoc_C
PF15277.6,Sec3-PIP2_bind
PF16533.5,SOAR
PF04238.12,DUF420
PF05553.11,DUF761
PF08349.11,DUF1722
PF11460.8,DUF3007
PF10233.9,Cg6151-P
PF04351.13,PilP
PF11219.8,DUF3014
PF02596.15,DUF169
PF11320.8,DUF3122
PF06715.12,Gp5_C
PF12076.8,Wax2_C
PF03074.16,GCS
PF08542.11,Rep_fac_C
PF01284.23,MARVEL
PF07724.14,AAA_2
PF02661.18,Fic
PF14087.6,DUF4267
PF11307.8,DUF3109
PF16448.5,LapD_MoxY_N
PF03264.14,Cytochrom_NNT
PF12974.7,Phosphonate-bd
PF08295.12,Sin3_corepress
PF01496.19,V_ATPase_I
PF09981.9,DUF2218
PF16163.5,DUF4869
PF12661.7,hEGF
PF08206.11,OB_RNB
PF04406.14,TP6A_N
PF00850.19,Hist_deacetyl
PF17265.2,DUF5331
PF17172.4,GST_N_4
PF01479.25,S4
PF12642.7,TpcC
PF04718.15,ATP-synt_G
PF16889.5,Hepar_II_III_N
PF05158.12,RNA_pol_Rpc34
PF12645.7,HTH_16
PF03801.13,Ndc80_HEC
PF08268.12,FBA_3
PF08570.10,DUF1761
PF13271.6,DUF4062
PF03846.14,SulA
PF16178.5,Anoct_dimer
PF16101.5,PRIMA1
PF05208.13,ALG3
PF02749.16,QRPTase_N
PF01386.19,Ribosomal_L25p
PF18636.1,Sld7_N
PF01627.23,Hpt
PF14826.6,FACT-Spt16_Nlob
PF13731.6,WxL
PF11860.8,Muraidase
PF14168.6,YjzC
PF11067.8,DUF2868
PF14369.6,zinc_ribbon_9
PF14594.6,Sipho_Gp37
PF01900.19,RNase_P_Rpp14
PF03153.13,TFIIA
PF15867.5,Dynein_attach_N
PF18135.1,Type_ISP_C
PF08350.10,DUF1724
PF07916.11,TraG_N
PF03738.14,GSP_synth
PF03743.14,TrbI
PF00707.22,IF3_C
PF11215.8,DUF3010
PF12794.7,MscS_TM
PF07643.11,DUF1598
PF11659.8,DUF3261
PF03918.14,CcmH
PF15624.6,Mif2_N
PF08907.11,DUF1853
PF13702.6,Lysozyme_like
PF16595.5,Cas9_PI
PF10724.9,DUF2516
PF00052.18,Laminin_B
PF03489.17,SapB_2
PF07812.12,TfuA
PF16740.5,SKA2
PF10372.9,YojJ
PF10338.9,DUF2423
PF03691.14,UPF0167
PF07755.11,DUF1611
PF02059.15,IL3
PF18640.1,LepB_N
PF17933.1,TetR_C_25
PF15164.6,WBS28
PF13286.6,HD_assoc
PF07545.14,Vg_Tdu
PF13259.6,DUF4050
PF01180.21,DHO_dh
PF01846.19,FF
PF05003.12,DUF668
PF01356.19,A_amylase_inhib
PF14784.6,ECSIT_C
PF08375.11,Rpn3_C
PF14924.6,DUF4497
PF01974.17,tRNA_int_endo
PF18205.1,VPDSG-CTERM
PF04981.13,NMD3
PF13857.6,Ank_5
PF18604.1,PreAtp-grasp
PF00741.18,Gas_vesicle
PF06626.12,DUF1152
PF06788.13,UPF0257
PF13502.6,AsmA_2
PF12914.7,SH3_7
PF04777.13,Evr1_Alr
PF12146.8,Hydrolase_4
PF17947.1,4HB
PF01706.16,FliG_C
PF01027.20,Bax1-I
PF18425.1,CspB_prodomain
PF01584.19,CheW
PF00132.24,Hexapep
PF16898.5,TOPRIM_C
PF16300.5,WD40_4
PF15686.5,LYRIC
PF03459.17,TOBE
PF12837.7,Fer4_6
PF07200.13,Mod_r
PF04842.12,DUF639
PF01823.19,MACPF
PF04010.13,DUF357
PF18715.1,Phage_spike
PF12160.8,Fibrinogen_aC
PF01965.24,DJ-1_PfpI
PF07627.11,PSCyt3
PF15020.6,CATSPERD
PF16051.5,DUF4797
PF18489.1,Alpha_Helical
PF02637.18,GatB_Yqey
PF01077.22,NIR_SIR
PF09366.10,DUF1997
PF17126.5,RsmF_methylt_CI
PF06902.11,Fer4_19
PF05899.12,Cupin_3
PF00204.25,DNA_gyraseB
PF01028.20,Topoisom_I
PF13380.6,CoA_binding_2
PF01840.17,TCL1_MTCP1
PF08758.11,Cadherin_pro
PF03350.16,UPF0114
PF07534.16,TLD
PF14060.6,DUF4252
PF13170.6,DUF4003
PF17286.2,PRMT5_C
PF14023.6,DUF4239
PF06504.11,RepC
PF14888.6,PBP-Tp47_c
PF06842.12,DUF1242
PF04471.12,Mrr_cat
PF18021.1,Agglutinin_C
PF13709.6,DUF4159
PF01959.16,DHQS
PF09924.9,DUF2156
PF09640.10,DUF2027
PF06049.12,LSPR
PF11210.8,DUF2996
PF15013.6,CCSMST1
PF11228.8,DUF3027
PF07995.11,GSDH
PF06908.11,YpsA
PF00610.21,DEP
PF16732.5,ComP_DUS
PF00163.19,Ribosomal_S4
PF10257.9,RAI16-like
PF07747.11,MTH865
PF13103.6,TonB_2
PF17969.1,Ldt_C
PF09265.10,Cytokin-bind
PF03130.16,HEAT_PBS
PF08955.10,BofC_C
PF08708.11,PriCT_1
PF05866.11,RusA
PF04493.14,Endonuclease_5
PF13603.6,tRNA-synt_1_2
PF03829.13,PTSIIA_gutA
PF12166.8,Piezo_RRas_bdg
PF06482.11,Endostatin
PF06993.12,DUF1304
PF07226.11,DUF1422
PF12783.7,Sec7_N
PF01237.18,Oxysterol_BP
PF17692.1,DUF5538
PF04155.18,Ground-like
PF13749.6,HATPase_c_4
PF13975.6,gag-asp_proteas
PF16006.5,NUSAP
PF07332.11,Phage_holin_3_6
PF07654.15,C1-set
PF14308.6,DnaJ-X
PF00568.23,WH1
PF01813.17,ATP-synt_D
PF03634.13,TCP
PF00079.20,Serpin
PF15881.5,DUF4734
PF16490.5,Oxidoreduct_C
PF11527.8,ARL2_Bind_BART
PF06964.12,Alpha-L-AF_C
PF05180.12,zf-DNL
PF14932.6,HAUS-augmin3
PF14487.6,DarT
PF03694.13,Erg28
PF04157.16,EAP30
PF04354.13,ZipA_C
PF04919.12,DUF655
PF02933.17,CDC48_2
PF11072.8,DUF2859
PF14750.6,INTS2
PF15300.6,INT_SG_DDX_CT_C
PF00075.24,RNase_H
PF07949.12,YbbR
PF07670.14,Gate
PF04042.16,DNA_pol_E_B
PF17894.1,Cas9_Topo
PF12585.8,DUF3759
PF06269.12,DUF1029
PF08177.11,SspN
PF09172.11,DUF1943
PF13627.6,LPAM_2
PF12499.8,DUF3707
PF15062.6,ARL6IP6
PF03255.14,ACCA
PF17807.1,zf-UBP_var
PF09171.10,AGOG
PF03239.14,FTR1
PF09699.10,Paired_CXXCH_1
PF06516.11,NUP
PF15848.5,ODAPH
PF17996.1,CE2_N
PF09709.10,Cas_Csd1
PF03672.13,UPF0154
PF14342.6,DUF4396
PF05299.12,Peptidase_M61
PF14011.6,ESX-1_EspG
PF11708.8,Slu7
PF16264.5,SatD
PF12611.8,Flagellar_put
PF08034.11,TES
PF18403.1,Thioredoxin_15
PF02487.17,CLN3
PF07973.14,tRNA_SAD
PF13949.6,ALIX_LYPXL_bnd
PF09837.9,DUF2064
PF13519.6,VWA_2
PF12397.8,U3snoRNP10
PF11165.8,DUF2949
PF01120.17,Alpha_L_fucos
PF11338.8,DUF3140
PF07564.11,DUF1542
PF14868.6,DUF4487
PF00510.18,COX3
PF09435.10,DUF2015
PF12017.8,Tnp_P_element
PF09617.10,Cas_GSU0053
PF00123.20,Hormone_2
PF08078.12,PsaX
PF14538.6,Raptor_N
PF12061.8,NB-LRR
PF01853.18,MOZ_SAS
PF11026.8,DUF2721
PF09360.10,zf-CDGSH
PF00284.20,Cytochrom_B559a
PF02376.15,CUT
PF17944.1,Arg_decarbox_C
PF04859.12,DUF641
PF06958.12,Pyocin_S
PF09559.10,Cas6
PF00759.19,Glyco_hydro_9
PF07736.11,CM_1
PF02311.19,AraC_binding
PF12553.8,DUF3742
PF16729.5,DUF5067
PF01680.17,SOR_SNZ
PF17779.1,NOD2_WH
PF02199.15,SapA
PF13296.6,T6SS_Vgr
PF13393.6,tRNA-synt_His
PF17121.5,zf-C3HC4_5
PF06303.12,MatP
PF15254.6,CCDC14
PF14625.6,Lustrin_cystein
PF06464.11,DMAP_binding
PF13816.6,Dehydratase_hem
PF09560.10,Spore_YunB
PF12857.7,TOBE_3
PF04019.12,DUF359
PF04312.13,DUF460
PF15193.6,FAM24
PF18670.1,V_ATPase_I_N
PF01008.17,IF-2B
PF16547.5,BLM10_N
PF05141.12,DIT1_PvcA
PF08696.11,Dna2
PF05300.11,DUF737
PF07110.11,EthD
PF14345.6,GDYXXLXY
PF02500.15,DNA_pack_N
PF16258.5,DUF4912
PF16780.5,AIMP2_LysRS_bd
PF07762.14,DUF1618
PF01874.16,CitG
PF05688.11,DUF824
PF14624.6,Vwaint
PF13320.6,DUF4091
PF02536.14,mTERF
PF18831.1,LRR_11
PF14042.6,DUF4247
PF03381.15,CDC50
PF15279.6,SOBP
PF14712.6,Snapin_Pallidin
PF11917.8,DUF3435
PF02330.16,MAM33
PF12852.7,Cupin_6
PF13330.6,Mucin2_WxxW
PF16363.5,GDP_Man_Dehyd
PF08823.11,PG_binding_2
PF13717.6,zinc_ribbon_4
PF01749.20,IBB
PF00201.18,UDPGT
PF09995.9,DUF2236
PF00082.22,Peptidase_S8
PF00487.24,FA_desaturase
PF02801.22,Ketoacyl-synt_C
PF02887.16,PK_C
PF07887.11,Calmodulin_bind
PF05982.12,Sbt_1
PF07305.12,DUF1454
PF01904.18,DUF72
PF17721.1,DUF5566
PF17786.1,Mannosidase_ig
PF09427.10,DUF2014
PF10002.9,DUF2243
PF13884.6,Peptidase_S74
PF03813.14,Nrap
PF10293.9,DUF2405
PF14231.6,GXWXG
PF06605.11,Prophage_tail
PF08150.12,FerB
PF12579.8,DUF3755
PF07566.12,DUF1543
PF16015.5,Promethin
PF12815.7,CTD
PF11694.8,DUF3290
PF04177.12,TAP42
PF07362.12,CcdA
PF03748.14,FliL
PF15018.6,InaF-motif
PF15072.6,DUF4539
PF05858.12,BIV_Env
PF00467.29,KOW
PF06999.12,Suc_Fer-like
PF10173.9,Mit_KHE1
PF02271.16,UCR_14kD
PF07248.12,DUF1431
PF08524.11,rRNA_processing
PF13155.6,Toprim_2
PF13387.6,DUF4105
PF10244.9,MRP-L51
PF06988.11,NifT
PF06799.11,DUF1230
PF11743.8,DUF3301
PF04399.13,Glutaredoxin2_C
PF01814.23,Hemerythrin
PF01049.17,Cadherin_C
PF05400.13,FliT
PF10948.8,DUF2635
PF08918.10,PhoQ_Sensor
PF07286.12,DUF1445
PF02071.20,NSF
PF02847.17,MA3
PF06155.12,DUF971
PF09190.11,DALR_2
PF12796.7,Ank_2
PF10744.9,Med1
PF08873.11,DUF1834
PF02864.15,STAT_bind
PF13929.6,mRNA_stabil
PF16436.5,DUF5033
PF04217.13,DUF412
PF13593.6,SBF_like
PF05542.11,DUF760
PF00179.26,UQ_con
PF15563.6,Imm19
PF05848.11,CtsR
PF10322.9,7TM_GPCR_Sru
PF03171.20,2OG-FeII_Oxy
PF13761.6,DUF4166
PF14894.6,Lsm_C
PF06140.13,Ifi-6-16
PF12364.8,DUF3648
PF17517.2,IgGFc_binding
PF14765.6,PS-DH
PF01351.18,RNase_HII
PF02026.16,RyR
PF05138.12,PaaA_PaaC
PF04719.14,TAFII28
PF18760.1,ART-PolyVal
PF11735.8,CAP59_mtransfer
PF06738.12,ThrE
PF04951.13,Peptidase_M55
PF00732.19,GMC_oxred_N
PF02759.19,RUN
PF17866.1,AAA_lid_6
PF15398.6,DUF4619
PF14524.6,Wzt_C
PF14931.6,IFT20
PF18349.1,Paz_1
PF14781.6,BBS2_N
PF18004.1,RPN2_C
PF15021.6,DUF4521
PF15477.6,SMAP
PF18145.1,SAVED
PF10629.9,DUF2475
PF00664.23,ABC_membrane
PF13503.6,DUF4123
PF00674.18,DUP
PF09548.10,Spore_III_AB
PF06736.11,DUF1211
PF10212.9,TTKRSYEDQ
PF14934.6,DUF4499
PF12797.7,Fer4_2
PF03308.16,MeaB
PF18754.1,Nmad3
PF04411.12,PDDEXK_7
PF16459.5,Phage_TAC_13
PF16680.5,Ig_4
PF01273.25,LBP_BPI_CETP
PF09999.9,DUF2240
PF04109.16,APG9
PF10178.9,PAC3
PF08385.12,DHC_N1
PF04245.13,NA37
PF11779.8,SPT_ssu-like
PF05670.13,NFACT-R_1
PF18378.1,Nup188_C
PF13827.6,DUF4189
PF09951.9,DUF2185
PF04994.13,TfoX_C
PF09855.9,zinc_ribbon_13
PF15992.5,DUF4769
PF03143.17,GTP_EFTU_D3
PF10974.8,DUF2804
PF02196.15,RBD
PF03461.15,TRCF
PF14652.6,DUF4457
PF18631.1,Cucumopine_C
PF05020.15,zf-NPL4
PF13093.6,FTA4
PF09439.10,SRPRB
PF05336.13,rhaM
PF10038.9,DUF2274
PF04422.13,FrhB_FdhB_N
PF01187.18,MIF
PF11965.8,DUF3479
PF08913.10,VBS
PF08446.11,PAS_2
PF00239.21,Resolvase
PF03411.13,Peptidase_M74
PF14088.6,DUF4268
PF00376.23,MerR
PF12515.8,CaATP_NAI
PF00440.23,TetR_N
PF07326.11,RCS1
PF01225.25,Mur_ligase
PF09186.11,DUF1949
PF05479.11,PsaN
PF11765.8,Hyphal_reg_CWP
PF14270.6,DUF4358
PF08019.12,EptA_B_N
PF05389.12,MecA
PF11237.8,DUF3038
PF03939.13,Ribosomal_L23eN
PF06527.11,TniQ
PF08250.11,Sperm_act_pep
PF06764.11,DUF1223
PF00307.31,CH
PF15690.5,NRIP1_repr_4
PF16046.5,FAM76
PF15274.6,MLIP
PF16271.5,DUF4924
PF06017.13,Myosin_TH1
PF16198.5,TruB_C_2
PF02833.14,DHHA2
PF15714.5,SpoVT_C
PF08022.12,FAD_binding_8
PF09122.10,DUF1930
PF09210.11,DUF1957
PF10479.9,FSA_C
PF08277.12,PAN_3
PF09021.11,HutP
PF18619.1,GAIN_A
PF00864.19,P2X_receptor
PF18695.1,cPLA2_C2
PF01390.20,SEA
PF12229.8,PG_binding_4
PF09831.9,DUF2058
PF13446.6,RPT
PF17210.3,SdrD_B
PF07926.12,TPR_MLP1_2
PF17448.2,YqaH
PF00576.21,Transthyretin
PF17875.1,RPA43_OB
PF06974.13,DUF1298
PF08284.11,RVP_2
PF00098.23,zf-CCHC
PF14923.6,CCDC142
PF09337.10,zf-H2C2
PF05005.15,Ocnus
PF06079.11,Apyrase
PF14793.6,DUF4478
PF01453.24,B_lectin
PF01419.17,Jacalin
PF17924.1,TetR_C_19
PF00848.19,Ring_hydroxyl_A
PF16184.5,Cadherin_3
PF07890.12,Rrp15p
PF12718.7,Tropomyosin_1
PF08502.10,LeuA_dimer
PF01029.18,NusB
PF15248.6,DUF4587
PF11007.8,CotJA
PF17213.3,Hydin_ADK
PF00935.19,Ribosomal_L44
PF10359.9,Fmp27_WPPW
PF18267.1,Rubredoxin_C
PF14689.6,SPOB_a
PF00917.26,MATH
PF03168.13,LEA_2
PF09263.10,PEX-2N
PF12656.7,G-patch_2
PF06891.11,P2_Phage_GpR
PF08624.10,CRC_subunit
PF02780.20,Transketolase_C
PF12697.7,Abhydrolase_6
PF02753.17,PapD_C
PF00653.21,BIR
PF04189.13,Gcd10p
PF17117.5,DUF5104
PF13892.6,DBINO
PF07976.12,Phe_hydrox_dim
PF18332.1,XRN1_D1
PF11488.8,Lge1
PF09736.9,Bud13
PF04088.13,Peroxin-13_N
PF18197.1,DUF5602
PF06853.12,DUF1249
PF09324.10,DUF1981
PF03389.15,MobA_MobL
PF17843.1,MycE_N
PF17898.1,GerD
PF08751.11,TrwC
PF02317.17,Octopine_DH
PF16330.5,MukB_hinge
PF01909.23,NTP_transf_2
PF01951.16,Archease
PF05161.13,MOFRL
PF14139.6,YpzG
PF10342.9,GPI-anchored
PF05190.18,MutS_IV
PF10363.9,RTP1_C1
PF18655.1,SHIRT
PF02605.15,PsaL
PF12043.8,DUF3527
PF09104.10,BRCA-2_OB3
PF00057.18,Ldl_recept_a
PF11305.8,DUF3107
PF01506.19,HCV_NS5a
PF14702.6,hGDE_central
PF14336.6,DUF4392
PF02558.16,ApbA
PF17273.2,DUF5338
PF11415.8,Toxin_37
PF01822.19,WSC
PF12223.8,DUF3602
PF03109.16,ABC1
PF14819.6,QueF_N
PF04384.13,Fe-S_assembly
PF02315.16,MDH
PF14062.6,DUF4253
PF06775.14,Seipin
PF09135.11,Alb1
PF17040.5,CBP_CCPA
PF00017.24,SH2
PF13414.6,TPR_11
PF14804.6,Jag_N
PF00696.28,AA_kinase
PF11202.8,PRTase_1
PF04826.13,Arm_2
PF04382.13,SAB
PF04910.14,Tcf25
PF13402.6,Peptidase_M60
PF04760.15,IF2_N
PF04434.17,SWIM
PF08281.12,Sigma70_r4_2
PF06087.12,Tyr-DNA_phospho
PF15991.5,G_path_suppress
PF04658.13,TAFII55_N
PF10261.9,Scs3p
PF13251.6,DUF4042
PF00640.23,PID
PF13895.6,Ig_2
PF00538.19,Linker_histone
PF11011.8,DUF2849
PF11748.8,DUF3306
PF02919.15,Topoisom_I_N
PF05343.14,Peptidase_M42
PF07652.14,Flavi_DEAD
PF10414.9,CysG_dimeriser
PF07978.13,NIPSNAP
PF09877.9,DUF2104
PF14740.6,DUF4471
PF17252.2,DUF5319
PF12502.8,DUF3710
PF07671.11,DUF1601
PF05019.13,Coq4
PF18758.1,KDZ
PF03783.14,CsgG
PF16579.5,AdenylateSensor
PF01536.16,SAM_decarbox
PF09701.10,Cas_Cmr5
PF17024.5,DMAP1_like
PF08368.12,FAST_2
PF14346.6,DUF4398
PF05424.11,Duffy_binding
PF02636.17,Methyltransf_28
PF12266.8,DUF3613
PF13490.6,zf-HC2
PF00425.18,Chorismate_bind
PF10015.9,DUF2258
PF14827.6,dCache_3
PF15436.6,PGBA_N
PF09673.10,TrbC_Ftype
PF12447.8,DUF3683
PF04152.14,Mre11_DNA_bind
PF11203.8,EccE
PF14794.6,DUF4479
PF12925.7,APP_E2
PF01613.18,Flavin_Reduct
PF12727.7,PBP_like
PF11223.8,DUF3020
PF09963.9,DUF2197
PF18761.1,Heliorhodopsin
PF11548.8,Receptor_IA-2
PF16079.5,Phage_holin_5_2
PF03227.16,GILT
PF01325.19,Fe_dep_repress
PF11998.8,DUF3493
PF06691.11,DUF1189
PF14452.6,Multi_ubiq
PF09921.9,DUF2153
PF08996.10,zf-DNA_Pol
PF13859.6,BNR_3
PF05017.14,TMP
PF02793.22,HRM
PF09959.9,DUF2193
PF17871.1,AAA_lid_9
PF09605.10,Trep_Strep
PF08214.11,HAT_KAT11
PF12695.7,Abhydrolase_5
PF13885.6,Keratin_B2_2
PF03790.13,KNOX1
PF11267.8,DUF3067
PF03312.15,DUF272
PF10218.9,DUF2054
PF08819.11,DUF1802
PF15092.6,UPF0728
PF06793.12,UPF0262
PF11140.8,DUF2913
PF02154.15,FliM
PF00070.27,Pyr_redox
PF03665.13,UPF0172
PF07504.13,FTP
PF15312.6,JSRP
PF03140.15,DUF247
PF18266.1,Ncstrn_small
PF17188.4,MucB_RseB_C
PF01494.19,FAD_binding_3
PF17150.4,CHASE6_C
PF07496.15,zf-CW
PF03406.13,Phage_fiber_2
PF04343.13,DUF488
PF18396.1,TBK1_ULD
PF05486.12,SRP9-21
PF01037.21,AsnC_trans_reg
PF06890.12,Phage_Mu_Gp45
PF06292.17,DUF1041
PF05652.12,DcpS
PF06156.13,YabA
PF14261.6,DUF4351
PF12200.8,DUF3597
PF10116.9,Host_attach
PF10846.8,DUF2722
PF03179.15,V-ATPase_G
PF02620.17,YceD
PF01144.23,CoA_trans
PF06620.11,DUF1150
PF04317.12,DUF463
PF14520.6,HHH_5
PF15447.6,NTS
PF01754.16,zf-A20
PF07578.11,LAB_N
PF06758.13,Olduvai
PF16381.5,Coatomer_g_Cpla
PF14480.6,DNA_pol3_a_NI
PF00056.23,Ldh_1_N
PF05814.11,Ac76
PF00144.24,Beta-lactamase
PF00795.22,CN_hydrolase
PF08065.12,KI67R
PF10521.9,Tti2
PF11441.8,MxiM
PF16100.5,RMI2
PF00992.20,Troponin
PF14904.6,FAM86
PF07744.13,SPOC
PF07311.12,Dodecin
PF05051.13,COX17
PF10393.9,Matrilin_ccoil
PF06616.11,BsuBI_PstI_RE
PF08167.12,RIX1
PF04430.14,DUF498
PF18106.1,Rol_Rep_N
PF07572.12,BCNT
PF05983.11,Med7
PF13151.6,DUF3990
PF11146.8,DUF2905
PF00581.20,Rhodanese
PF10675.9,DUF2489
PF04485.12,NblA
PF10118.9,Metal_hydrol
PF13958.6,ToxN_toxin
PF15268.6,Dapper
PF06348.11,DUF1059
PF11731.8,Cdd1
PF04186.13,FxsA
PF00167.18,FGF
PF06101.11,Vps62
PF02950.17,Conotoxin
PF13974.6,YebO
PF08509.11,Ad_cyc_g-alpha
PF08613.11,Cyclin
PF07245.11,Phlebovirus_G2
PF10941.8,DUF2620
PF14238.6,DUF4340
PF07441.11,BofA
PF13419.6,HAD_2
PF18327.1,PRODH
PF18583.1,Arnt_C
PF08766.11,DEK_C
PF06035.11,Peptidase_C93
PF17938.1,TetR_C_29
PF17217.3,UPA
PF14167.6,YfkD
PF17769.1,PurK_C
PF05129.13,Elf1
PF02796.15,HTH_7
PF07555.13,NAGidase
PF14952.6,zf-tcix
PF01124.18,MAPEG
PF13715.6,CarbopepD_reg_2
PF01642.22,MM_CoA_mutase
PF12726.7,SEN1_N
PF16924.5,DpaA_N
PF16112.5,DUF4830
PF00227.26,Proteasome
PF08427.10,DUF1741
PF08604.10,Nup153
PF17926.1,TetR_C_21
PF15371.6,DUF4599
PF07631.11,PSD4
PF01998.17,DUF131
PF17917.1,RT_RNaseH
PF18579.1,Raf1_HTH
PF11118.8,DUF2627
PF10221.9,DUF2151
PF15008.6,DUF4518
PF09936.9,Methyltrn_RNA_4
PF06804.11,Lipoprotein_18
PF10226.9,CCDC85
PF14466.6,PLCC
PF14806.6,Coatomer_b_Cpla
PF18847.1,LPD29
PF07596.11,SBP_bac_10
PF02557.17,VanY
PF11261.8,IRF-2BP1_2
PF00762.19,Ferrochelatase
PF05210.13,Sprouty
PF07858.12,LEH
PF00408.20,PGM_PMM_IV
PF07378.11,FlbT
PF06666.11,DUF1173
PF09497.10,Med12
PF03241.13,HpaB
PF14707.6,Sulfatase_C
PF01051.21,Rep_3
PF13523.6,Acetyltransf_8
PF04857.20,CAF1
PF05938.11,Self-incomp_S1
PF16992.5,RNA_pol_RpbG
PF10696.9,DUF2501
PF11200.8,DUF2981
PF01526.17,DDE_Tnp_Tn3
PF11757.8,RSS_P20
PF09655.10,Nitr_red_assoc
PF14938.6,SNAP
